combined_address,geometry,address
Eichhorster Weg 44 13435 Berlin,POINT (13.3432702 52.5991357),"44, Eichhorster Weg, 13435, Eichhorster Weg, Berlin, Deutschland"
Finsterwalder Straße 1 13435 Berlin,POINT (13.338929 52.5961888),"1, Finsterwalder Straße, 13435, Finsterwalder Straße, Berlin, Deutschland"
Wilhelmsruher Damm 97 13439 Berlin,POINT (13.3614898 52.5966655),"97, Wilhelmsruher Damm, 13439, Wilhelmsruher Damm, Berlin, Deutschland"
Wilhelmsruher Damm 127 13439 Berlin,POINT (13.3553764 52.5962782),"127, Wilhelmsruher Damm, 13439, Wilhelmsruher Damm, Berlin, Deutschland"
Wilhelmsruher Damm 173 13439 Berlin,POINT (13.3504567 52.5960522),"173, Wilhelmsruher Damm, 13439, Wilhelmsruher Damm, Berlin, Deutschland"
Senftenberger Ring 12 13439 Berlin,POINT (13.3581196 52.5991473),"12, Senftenberger Ring, 13439, Senftenberger Ring, Berlin, Deutschland"
Senftenberger Ring 34a 13435 Berlin,POINT (13.3633862 52.6030663),"34A, Senftenberger Ring, 13435, Senftenberger Ring, Berlin, Deutschland"
Senftenberger Ring 40a 13435 Berlin,POINT (13.3616446 52.6053222),"40A, Senftenberger Ring, 13435, Senftenberger Ring, Berlin, Deutschland"
Senftenberger Ring 42n 13435 Berlin,POINT (13.356653032514167 52.606314999999995),"42N, Senftenberger Ring, 13435, Senftenberger Ring, Berlin, Deutschland"
Senftenberger Ring 95 13435 Berlin,POINT (13.353609 52.6025073),"95, Senftenberger Ring, 13435, Senftenberger Ring, Berlin, Deutschland"
Dannenwalder Weg 184 13439 Berlin,POINT (13.3612207 52.5936328),"184, Dannenwalder Weg, 13439, Dannenwalder Weg, Berlin, Deutschland"
Finsterwalder Straße 33 13435 Berlin,POINT (13.3387705 52.5985156),"33, Finsterwalder Straße, 13435, Finsterwalder Straße, Berlin, Deutschland"
